#Mean	234.109
#Median	216
#Mode	195
#STDev	90.676
#PercentOfPairs	100.000
#InsertSize	Count
37	1
41	1
46	1
48	1
54	1
57	1
58	1
59	2
60	1
63	1
64	3
66	1
67	1
69	3
71	4
72	3
73	2
74	4
75	3
76	1
77	2
78	5
79	4
80	6
81	2
82	4
83	6
84	9
85	9
86	7
87	7
88	15
89	9
90	11
91	24
92	19
93	20
94	20
95	29
96	25
97	24
98	28
99	23
100	28
101	37
102	32
103	32
104	24
105	23
106	33
107	28
108	40
109	42
110	45
111	45
112	42
113	42
114	53
115	62
116	66
117	67
118	84
119	67
120	73
121	67
122	68
123	65
124	69
125	68
126	88
127	70
128	71
129	93
130	83
131	96
132	100
133	80
134	106
135	103
136	100
137	94
138	81
139	98
140	114
141	102
142	101
143	95
144	100
145	109
146	103
147	127
148	113
149	110
150	114
151	122
152	135
153	110
154	138
155	115
156	125
157	129
158	95
159	124
160	123
161	122
162	135
163	135
164	123
165	127
166	121
167	115
168	119
169	107
170	139
171	132
172	137
173	131
174	145
175	130
176	119
177	128
178	146
179	155
180	123
181	123
182	131
183	150
184	123
185	126
186	141
187	124
188	137
189	144
190	138
191	143
192	150
193	110
194	116
195	159
196	116
197	137
198	126
199	121
200	136
201	137
202	135
203	116
204	131
205	144
206	128
207	115
208	152
209	117
210	110
211	144
212	115
213	135
214	114
215	133
216	133
217	137
218	124
219	130
220	123
221	117
222	111
223	100
224	93
225	108
226	114
227	89
228	117
229	140
230	115
231	99
232	117
233	111
234	114
235	118
236	105
237	109
238	120
239	97
240	108
241	103
242	96
243	94
244	102
245	105
246	109
247	102
248	84
249	94
250	89
251	82
252	99
253	78
254	92
255	85
256	96
257	80
258	99
259	110
260	74
261	97
262	86
263	98
264	82
265	75
266	68
267	83
268	75
269	72
270	73
271	72
272	66
273	91
274	82
275	90
276	61
277	76
278	57
279	52
280	75
281	65
282	73
283	72
284	54
285	79
286	70
287	60
288	77
289	65
290	51
291	66
292	66
293	61
294	55
295	63
296	61
297	71
298	46
299	55
300	69
301	48
302	64
303	42
304	71
305	55
306	56
307	52
308	53
309	52
310	62
311	41
312	49
313	41
314	47
315	55
316	47
317	56
318	51
319	44
320	38
321	44
322	55
323	50
324	41
325	51
326	38
327	40
328	39
329	47
330	41
331	49
332	31
333	34
334	42
335	41
336	31
337	45
338	37
339	35
340	38
341	36
342	43
343	39
344	25
345	51
346	29
347	30
348	23
349	35
350	26
351	36
352	43
353	39
354	43
355	31
356	28
357	27
358	34
359	29
360	21
361	23
362	37
363	30
364	28
365	22
366	29
367	35
368	36
369	27
370	31
371	27
372	32
373	17
374	19
375	29
376	28
377	30
378	23
379	24
380	24
381	24
382	29
383	19
384	30
385	29
386	29
387	25
388	23
389	30
390	30
391	16
392	19
393	16
394	29
395	18
396	22
397	15
398	27
399	19
400	17
401	17
402	19
403	10
404	14
405	15
406	28
407	21
408	20
409	30
410	14
411	10
412	29
413	24
414	18
415	16
416	21
417	14
418	10
419	12
420	20
421	16
422	13
423	17
424	18
425	19
426	20
427	11
428	13
429	13
430	12
431	9
432	15
433	11
434	12
435	17
436	17
437	15
438	14
439	14
440	20
441	12
442	13
443	14
444	16
445	14
446	7
447	9
448	15
449	8
450	10
451	14
452	5
453	15
454	12
455	3
456	12
457	10
458	13
459	8
460	9
461	11
462	8
463	12
464	4
465	8
466	5
467	6
468	9
469	14
470	10
471	10
472	8
473	7
474	8
475	11
476	6
477	12
478	10
479	8
480	4
481	8
482	1
483	8
484	9
485	7
486	12
487	16
488	6
489	7
490	3
491	6
492	8
493	7
494	11
495	5
496	7
497	6
498	6
499	9
500	3
501	7
502	7
503	5
504	3
505	6
506	6
507	7
508	5
509	5
510	5
511	3
512	4
513	5
514	1
515	1
516	2
517	8
518	4
519	8
520	4
521	5
522	2
523	2
524	3
525	2
526	7
527	6
528	4
529	6
530	5
531	2
532	3
533	9
534	3
535	4
536	7
537	1
538	2
539	4
540	1
541	2
542	1
543	2
544	3
545	4
546	4
547	3
548	5
549	5
550	3
551	1
552	2
553	3
554	5
555	2
556	3
557	1
558	6
559	3
560	2
561	1
563	1
564	1
565	3
566	1
567	4
568	2
569	2
570	1
571	2
572	2
573	3
574	2
575	2
576	4
577	1
578	1
579	3
580	1
581	4
583	3
584	4
585	2
586	3
588	4
590	3
591	1
592	1
593	2
595	2
596	1
597	2
599	1
601	1
603	1
605	2
607	1
609	1
610	1
614	1
620	1
624	1
627	1
688	1
