#Mean	217.284
#Median	190
#Mode	164
#STDev	103.780
#PercentOfPairs	100.000
#InsertSize	Count
39	1
42	1
50	2
52	1
53	1
54	1
58	1
59	2
60	1
61	1
62	2
63	1
64	2
65	3
66	8
67	3
68	4
69	7
70	1
71	13
72	9
73	10
74	8
75	15
76	13
77	10
78	19
79	19
80	21
81	8
82	11
83	20
84	24
85	21
86	40
87	31
88	35
89	28
90	30
91	30
92	37
93	52
94	68
95	56
96	54
97	61
98	63
99	73
100	90
101	51
102	67
103	83
104	59
105	77
106	94
107	81
108	82
109	92
110	93
111	102
112	96
113	104
114	111
115	89
116	119
117	110
118	96
119	134
120	118
121	114
122	106
123	119
124	109
125	113
126	132
127	140
128	129
129	129
130	127
131	131
132	134
133	128
134	121
135	139
136	129
137	132
138	138
139	144
140	150
141	136
142	142
143	129
144	125
145	138
146	137
147	109
148	150
149	139
150	147
151	143
152	149
153	151
154	171
155	146
156	147
157	147
158	141
159	138
160	140
161	142
162	143
163	146
164	186
165	120
166	138
167	136
168	140
169	157
170	141
171	138
172	121
173	165
174	126
175	145
176	138
177	154
178	154
179	149
180	145
181	137
182	114
183	150
184	139
185	140
186	140
187	141
188	134
189	134
190	139
191	119
192	119
193	147
194	127
195	126
196	114
197	104
198	120
199	113
200	128
201	114
202	112
203	117
204	116
205	92
206	116
207	117
208	97
209	111
210	107
211	117
212	104
213	109
214	104
215	101
216	107
217	95
218	105
219	89
220	93
221	90
222	87
223	97
224	92
225	85
226	94
227	117
228	88
229	70
230	73
231	73
232	69
233	100
234	93
235	76
236	98
237	93
238	79
239	67
240	75
241	78
242	77
243	63
244	68
245	79
246	69
247	63
248	62
249	64
250	70
251	80
252	51
253	62
254	54
255	67
256	66
257	67
258	56
259	43
260	45
261	61
262	60
263	54
264	66
265	56
266	52
267	65
268	49
269	54
270	45
271	35
272	51
273	44
274	48
275	45
276	51
277	57
278	47
279	42
280	37
281	53
282	46
283	33
284	40
285	42
286	46
287	46
288	41
289	33
290	25
291	44
292	42
293	49
294	43
295	38
296	33
297	41
298	37
299	34
300	35
301	28
302	30
303	31
304	34
305	41
306	38
307	30
308	29
309	31
310	37
311	32
312	35
313	26
314	23
315	34
316	34
317	37
318	33
319	27
320	35
321	40
322	36
323	30
324	35
325	21
326	33
327	35
328	30
329	25
330	16
331	43
332	32
333	17
334	27
335	21
336	30
337	27
338	21
339	29
340	31
341	23
342	26
343	33
344	16
345	29
346	15
347	18
348	17
349	21
350	16
351	22
352	34
353	33
354	30
355	27
356	21
357	19
358	24
359	19
360	33
361	29
362	21
363	28
364	25
365	23
366	23
367	26
368	12
369	20
370	23
371	25
372	21
373	21
374	24
375	28
376	13
377	33
378	28
379	17
380	19
381	23
382	12
383	20
384	19
385	23
386	13
387	21
388	17
389	22
390	19
391	16
392	19
393	19
394	24
395	23
396	15
397	17
398	22
399	19
400	19
401	18
402	20
403	22
404	18
405	13
406	15
407	17
408	17
409	11
410	23
411	15
412	19
413	13
414	9
415	14
416	11
417	13
418	16
419	14
420	8
421	22
422	13
423	12
424	12
425	15
426	14
427	10
428	9
429	14
430	11
431	15
432	16
433	10
434	23
435	12
436	8
437	16
438	14
439	7
440	10
441	11
442	13
443	16
444	9
445	11
446	9
447	9
448	8
449	8
450	9
451	11
452	11
453	11
454	13
455	8
456	8
457	9
458	7
459	8
460	10
461	10
462	11
463	9
464	11
465	13
466	12
467	8
468	11
469	7
470	6
471	9
472	9
473	9
474	7
475	8
476	10
477	15
478	6
479	11
480	5
481	12
482	8
483	10
484	9
485	8
486	8
487	14
488	8
489	6
490	6
491	10
492	8
493	7
494	9
495	6
496	6
497	3
498	5
499	8
500	10
501	6
502	9
503	6
504	7
505	8
506	8
507	4
508	8
509	10
510	7
511	4
512	8
513	5
514	5
515	3
516	3
517	4
518	9
519	7
520	9
521	4
522	7
523	5
524	9
525	8
526	4
527	7
528	4
529	1
530	11
531	3
532	7
533	4
534	4
535	4
536	5
537	8
538	4
539	2
540	4
541	1
542	7
543	2
544	5
545	10
546	5
547	6
548	3
549	5
550	2
551	7
552	5
553	7
554	7
555	3
556	7
557	5
558	4
559	5
560	3
561	6
562	4
563	5
564	2
565	2
567	2
568	9
569	5
571	4
572	5
573	3
574	4
575	5
576	8
577	2
578	4
579	12
580	3
581	2
582	6
583	4
584	1
586	3
587	2
588	2
589	2
590	3
591	3
592	1
593	4
595	1
596	4
599	4
600	1
601	1
604	2
606	3
608	1
609	1
610	2
615	1
618	1
620	1
622	1
627	1
633	1
638	1
639	1
641	1
642	1
649	1
661	1
672	1
673	1
677	1
679	1
680	1
684	1
685	1
702	1
707	1
711	1
712	1
714	1
726	1
727	1
728	2
737	1
746	1
750	1
779	1
794	1
798	1
809	1
817	1
820	1
821	1
822	1
829	1
836	1
842	1
854	1
860	3
862	1
865	1
866	1
869	2
870	1
871	1
874	2
877	1
879	1
886	1
888	1
891	2
895	1
899	1
904	1
906	1
911	2
914	1
925	2
931	1
937	1
949	1
950	1
954	1
961	2
966	1
967	1
972	1
991	1
