#Mean	271.520
#Median	257
#Mode	261
#STDev	107.044
#PercentOfPairs	100.000
#InsertSize	Count
40	2
43	1
44	2
45	1
48	1
50	1
51	1
52	1
54	1
55	1
56	2
57	1
58	2
59	4
60	3
61	1
62	3
63	4
64	2
65	4
67	2
68	5
69	6
70	7
71	3
72	6
73	10
74	6
75	11
76	9
77	14
78	6
79	12
80	13
81	8
82	13
83	11
84	13
85	13
86	13
87	13
88	19
89	23
90	11
91	27
92	17
93	18
94	15
95	25
96	32
97	31
98	33
99	21
100	26
101	31
102	27
103	14
104	24
105	21
106	41
107	24
108	35
109	36
110	36
111	29
112	39
113	40
114	29
115	44
116	33
117	36
118	45
119	38
120	33
121	46
122	46
123	51
124	36
125	49
126	52
127	53
128	50
129	54
130	53
131	61
132	62
133	59
134	56
135	54
136	63
137	50
138	56
139	65
140	65
141	67
142	75
143	74
144	71
145	53
146	77
147	60
148	74
149	81
150	69
151	77
152	89
153	63
154	74
155	70
156	70
157	91
158	84
159	74
160	86
161	85
162	76
163	75
164	74
165	85
166	88
167	79
168	77
169	78
170	91
171	82
172	98
173	89
174	79
175	91
176	79
177	81
178	100
179	88
180	75
181	89
182	92
183	100
184	107
185	95
186	85
187	88
188	89
189	79
190	100
191	85
192	83
193	96
194	91
195	103
196	82
197	106
198	89
199	88
200	93
201	91
202	90
203	82
204	97
205	93
206	103
207	107
208	97
209	79
210	94
211	97
212	95
213	86
214	112
215	94
216	96
217	94
218	88
219	107
220	96
221	97
222	95
223	84
224	98
225	94
226	96
227	95
228	105
229	104
230	96
231	85
232	80
233	91
234	105
235	107
236	78
237	76
238	98
239	89
240	103
241	85
242	106
243	103
244	87
245	90
246	101
247	91
248	76
249	90
250	85
251	94
252	96
253	99
254	108
255	81
256	61
257	102
258	97
259	102
260	82
261	115
262	92
263	89
264	98
265	85
266	83
267	86
268	90
269	82
270	86
271	81
272	87
273	86
274	92
275	78
276	69
277	88
278	81
279	79
280	92
281	84
282	76
283	82
284	83
285	78
286	82
287	90
288	73
289	68
290	61
291	69
292	72
293	87
294	79
295	74
296	86
297	72
298	76
299	81
300	64
301	81
302	86
303	69
304	71
305	72
306	57
307	71
308	63
309	85
310	68
311	73
312	63
313	66
314	61
315	52
316	75
317	64
318	62
319	81
320	66
321	72
322	54
323	73
324	68
325	75
326	49
327	74
328	70
329	54
330	63
331	64
332	66
333	68
334	74
335	70
336	50
337	58
338	66
339	69
340	57
341	52
342	47
343	53
344	55
345	57
346	53
347	65
348	47
349	48
350	63
351	53
352	52
353	59
354	57
355	45
356	49
357	61
358	55
359	66
360	52
361	53
362	48
363	61
364	53
365	61
366	45
367	45
368	39
369	50
370	40
371	51
372	52
373	55
374	37
375	56
376	45
377	43
378	62
379	37
380	52
381	40
382	40
383	36
384	53
385	45
386	36
387	45
388	52
389	46
390	44
391	50
392	42
393	39
394	50
395	27
396	36
397	47
398	34
399	43
400	36
401	28
402	42
403	43
404	47
405	34
406	41
407	35
408	52
409	29
410	29
411	37
412	41
413	46
414	41
415	35
416	23
417	42
418	29
419	34
420	38
421	32
422	29
423	34
424	37
425	29
426	39
427	34
428	27
429	34
430	33
431	29
432	32
433	34
434	35
435	32
436	27
437	31
438	40
439	33
440	23
441	34
442	33
443	31
444	26
445	19
446	27
447	27
448	30
449	35
450	21
451	27
452	26
453	34
454	26
455	21
456	28
457	25
458	33
459	24
460	26
461	26
462	36
463	26
464	26
465	17
466	22
467	22
468	23
469	28
470	17
471	17
472	28
473	19
474	22
475	22
476	20
477	30
478	15
479	16
480	23
481	18
482	18
483	20
484	17
485	20
486	21
487	16
488	16
489	21
490	18
491	26
492	17
493	23
494	19
495	17
496	18
497	20
498	21
499	19
500	12
501	18
502	13
503	20
504	17
505	20
506	18
507	14
508	8
509	13
510	14
511	13
512	16
513	13
514	13
515	5
516	6
517	7
518	18
519	8
520	10
521	18
522	18
523	7
524	3
525	6
526	8
527	13
528	17
529	9
530	8
531	12
532	7
533	9
534	8
535	4
536	7
537	6
538	8
539	8
540	2
541	10
542	7
543	3
544	6
545	5
546	2
547	1
548	2
549	7
550	3
551	4
552	2
553	4
554	4
555	3
556	1
557	6
558	2
559	2
560	4
561	1
562	1
563	1
564	2
565	1
566	1
567	3
568	1
569	1
571	1
572	1
573	1
575	2
576	2
577	1
578	3
580	1
581	1
582	2
586	2
587	1
594	1
595	1
597	1
601	1
605	1
607	1
618	1
626	1
628	1
639	1
640	1
642	1
648	1
657	1
663	2
667	1
678	1
680	1
696	1
702	1
718	1
739	1
741	1
762	1
771	1
776	1
784	1
799	1
808	1
811	1
820	2
830	1
836	1
845	1
849	1
858	1
863	1
865	1
874	1
877	1
885	1
924	1
931	1
939	1
958	1
969	2
977	1
993	1
999	1
