Chrom	Start	End	Value
HSV1-Kos	1	100	0.87
HSV1-Kos	101	200	0.83
HSV1-Kos	201	300	0.79
HSV1-Kos	301	400	0.73
HSV1-Kos	401	500	0.76
HSV1-Kos	501	600	0.78
HSV1-Kos	601	700	0.71
HSV1-Kos	701	800	0.9
HSV1-Kos	801	900	0.81
HSV1-Kos	901	1000	0.82
HSV1-Kos	1001	1100	0.85
HSV1-Kos	1101	1200	0.78
HSV1-Kos	1201	1300	0.72
HSV1-Kos	1301	1400	0.83
HSV1-Kos	1401	1500	0.56
HSV1-Kos	1501	1600	0.7
HSV1-Kos	1601	1700	0.6
HSV1-Kos	1701	1800	0.69
HSV1-Kos	1801	1900	0.63
HSV1-Kos	1901	2000	0.77
HSV1-Kos	2001	2100	0.66
HSV1-Kos	2101	2200	0.71
HSV1-Kos	2201	2300	0.78
HSV1-Kos	2301	2400	0.7
HSV1-Kos	2401	2500	0.61
HSV1-Kos	2501	2600	0.61
HSV1-Kos	2601	2700	0.64
HSV1-Kos	2701	2800	0.71
HSV1-Kos	2801	2900	0.63
HSV1-Kos	2901	3000	0.66
HSV1-Kos	3001	3100	0.71
HSV1-Kos	3101	3200	0.74
HSV1-Kos	3201	3300	0.78
HSV1-Kos	3301	3400	0.62
HSV1-Kos	3401	3500	0.64
HSV1-Kos	3501	3600	0.71
HSV1-Kos	3601	3700	0.75
HSV1-Kos	3701	3800	0.74
HSV1-Kos	3801	3900	0.84
HSV1-Kos	3901	4000	0.75
HSV1-Kos	4001	4100	0.81
HSV1-Kos	4101	4200	0.7
HSV1-Kos	4201	4300	0.89
HSV1-Kos	4301	4400	0.88
HSV1-Kos	4401	4500	0.78
HSV1-Kos	4501	4600	0.87
HSV1-Kos	4601	4700	0.77
HSV1-Kos	4701	4800	0.78
HSV1-Kos	4801	4900	0.81
HSV1-Kos	4901	5000	0.73
HSV1-Kos	5001	5100	0.69
HSV1-Kos	5101	5200	0.7
HSV1-Kos	5201	5300	0.73
HSV1-Kos	5301	5400	0.72
HSV1-Kos	5401	5500	0.7
HSV1-Kos	5501	5600	0.49
HSV1-Kos	5601	5700	0.54
HSV1-Kos	5701	5800	0.75
HSV1-Kos	5801	5900	0.66
HSV1-Kos	5901	6000	0.69
HSV1-Kos	6001	6100	0.64
HSV1-Kos	6101	6200	0.59
HSV1-Kos	6201	6300	0.62
HSV1-Kos	6301	6400	0.79
HSV1-Kos	6401	6500	0.63
HSV1-Kos	6501	6600	0.6
HSV1-Kos	6601	6700	0.63
HSV1-Kos	6701	6800	0.67
HSV1-Kos	6801	6900	0.62
HSV1-Kos	6901	7000	0.65
HSV1-Kos	7001	7100	0.64
HSV1-Kos	7101	7200	0.73
HSV1-Kos	7201	7300	0.81
HSV1-Kos	7301	7400	0.52
HSV1-Kos	7401	7500	0.83
HSV1-Kos	7501	7600	0.59
HSV1-Kos	7601	7700	0.54
HSV1-Kos	7701	7800	0.74
HSV1-Kos	7801	7900	0.76
HSV1-Kos	7901	8000	0.7
HSV1-Kos	8001	8100	0.7
HSV1-Kos	8101	8200	0.74
HSV1-Kos	8201	8300	0.55
HSV1-Kos	8301	8400	0.51
HSV1-Kos	8401	8500	0.78
HSV1-Kos	8501	8600	0.77
HSV1-Kos	8601	8700	0.81
HSV1-Kos	8701	8800	0.68
HSV1-Kos	8801	8900	0.75
HSV1-Kos	8901	9000	0.76
HSV1-Kos	9001	9100	0.57
HSV1-Kos	9101	9200	0.6
HSV1-Kos	9201	9300	0.52
HSV1-Kos	9301	9400	0.48
HSV1-Kos	9401	9500	0.51
